Date,Portfolio Value
2020-11-12,160314.49216422613
2020-11-13,162283.2300883667
2020-11-16,164568.79136386962
2020-11-17,163460.23917062918
2020-11-18,161721.82461469248
2020-11-19,162522.62891820414
2020-11-20,161027.05502692657
2020-11-23,162302.7316073258
2020-11-24,165047.95275827486
2020-11-27,164859.84683705977
2020-11-30,163334.9862341441
2020-12-01,165041.16569414258
2020-12-02,164956.1777619602
2020-12-03,165843.8305816408
2020-12-04,167392.50105437174
2020-12-07,166894.3864964417
2020-12-08,167653.33552798655
2020-12-09,166097.7463108423
2020-12-10,166197.9320822796
2020-12-11,165654.62198598555
2020-12-14,164581.14385734222
2020-12-15,166575.617649569
2020-12-16,166198.67948315488
2020-12-17,167058.4399152099
2020-12-18,166499.08056051665
2020-12-21,166041.8476288311
2020-12-22,165074.20373030147
2020-12-23,165347.76196014136
2020-12-24,165616.52979143584
2020-12-28,167166.07433669898
2020-12-29,167026.66981503618
2020-12-30,167814.21299100743
2020-12-31,168299.28543110832
2021-01-04,165531.5892842842
2021-01-05,166557.92207411135
2021-01-06,167811.65285420217
2021-01-07,168697.62487511893
2021-01-08,169223.56479426046
2021-01-12,167443.72739813125
2021-01-13,167286.16180156506
2021-01-14,166634.51737894662
2021-01-15,165350.7371395251
2021-01-19,166716.5184621311
2021-01-20,169337.2003617376
2021-01-21,169031.5745320627
2021-01-22,168517.70458853283
2021-01-25,167946.3725149915
2021-01-26,167508.08862277112
2021-01-27,164452.4343860619
2021-01-28,165785.99605607177
2021-01-29,162324.37147107857
2021-02-01,164577.90235835992
2021-02-02,167723.7767643522
2021-02-03,167179.698526512
2021-02-04,170146.40934802862
2021-02-05,171444.19652979556
2021-02-08,172346.08467910023
2021-02-09,171549.0823392197
2021-02-10,171109.33207002984
2021-02-11,171782.04543314007
2021-02-12,171871.1059308115
2021-02-16,172164.45377696477
2021-02-17,171991.23100987103
2021-02-18,171730.7099082032
2021-02-19,171841.966700924
2021-02-22,170920.48815868847
2021-02-23,170805.93876430133
2021-02-25,169593.08844988357
2021-02-26,166962.61174467814
2021-03-01,170831.98006338289
2021-03-02,169687.33973532633
2021-03-03,168159.64051607746
2021-03-04,166324.62578155528
2021-03-05,169154.66532574402
2021-03-08,169668.39174395878
2021-03-09,171011.6057229613
2021-03-10,173484.5983159667
2021-03-11,175278.22337009406
2021-03-12,176047.61346335994
2021-03-15,176910.52690533843
2021-03-16,176181.58010784938
2021-03-17,176621.68410636098
2021-03-18,173876.71691950876
2021-03-19,172603.61034338776
2021-03-22,173652.921061622
2021-03-23,172459.54472659086
2021-03-24,171526.3351290647
2021-03-25,172193.8117513342
2021-03-26,174988.38423259722
2021-03-29,176056.3943172789
2021-03-30,175042.10928710926
